Date,Day_of_Week,Weather,Temperature,Weekend,Festival,Festival_Name,Holiday,Previous_Day_Sales,Meals_Prepared,Meals_Sold,Food_Wasted,Revenue
01-01-2024,Monday,Rainy,21,No,Yes,New Year,Yes,180,233,212,21,47488
02-01-2024,Tuesday,Cloudy,29,No,No,None,No,212,238,207,31,55476
03-01-2024,Wednesday,Rainy,28,No,No,None,No,207,205,180,25,48600
04-01-2024,Thursday,Cloudy,28,No,No,None,No,180,194,175,19,39025
05-01-2024,Friday,Cloudy,29,No,No,None,No,175,189,171,18,47709
06-01-2024,Saturday,Rainy,27,Yes,No,None,Yes,171,193,183,10,33306
07-01-2024,Sunday,Rainy,26,Yes,No,None,Yes,183,236,209,27,56012
08-01-2024,Monday,Cloudy,26,No,No,None,No,209,215,194,21,50440
09-01-2024,Tuesday,Cloudy,24,No,No,None,No,194,208,183,25,47946
10-01-2024,Wednesday,Rainy,25,No,No,None,No,183,185,172,13,51084
11-01-2024,Thursday,Cloudy,26,No,No,None,No,172,185,177,8,46905
12-01-2024,Friday,Cloudy,31,No,No,None,No,177,187,179,8,49046
13-01-2024,Saturday,Sunny,37,Yes,No,None,Yes,179,229,211,18,55704
14-01-2024,Sunday,Sunny,38,Yes,No,None,Yes,211,238,221,17,43537
15-01-2024,Monday,Sunny,30,No,Yes,Makar Sankranti,Yes,221,275,253,22,68563
16-01-2024,Tuesday,Sunny,39,No,No,None,No,253,264,238,26,43316
17-01-2024,Wednesday,Sunny,35,No,No,None,No,238,250,222,28,64824
18-01-2024,Thursday,Cloudy,27,No,No,None,No,222,243,214,29,61204
19-01-2024,Friday,Sunny,31,No,No,None,No,214,223,196,27,42532
20-01-2024,Saturday,Cloudy,28,Yes,No,None,Yes,196,226,214,12,60990
21-01-2024,Sunday,Rainy,18,Yes,No,None,Yes,214,240,217,23,41447
22-01-2024,Monday,Sunny,35,No,No,None,No,217,231,207,24,48231
23-01-2024,Tuesday,Cloudy,27,No,No,None,No,207,224,197,27,48856
24-01-2024,Wednesday,Sunny,37,No,No,None,No,197,216,193,23,43039
25-01-2024,Thursday,Cloudy,27,No,No,None,No,193,221,194,27,50828
26-01-2024,Friday,Sunny,36,No,Yes,Republic Day,Yes,194,255,243,12,67797
27-01-2024,Saturday,Sunny,34,Yes,No,None,Yes,243,284,263,21,62594
28-01-2024,Sunday,Rainy,24,Yes,No,None,Yes,263,267,241,26,53984
29-01-2024,Monday,Rainy,19,No,No,None,No,241,232,208,24,45552
30-01-2024,Tuesday,Cloudy,26,No,No,None,No,208,226,200,26,60000
31-01-2024,Wednesday,Rainy,18,No,No,None,No,200,176,165,11,41745
01-02-2024,Thursday,Rainy,25,No,No,None,No,165,157,143,14,42900
02-02-2024,Friday,Rainy,28,No,No,None,No,143,152,136,16,40392
03-02-2024,Saturday,Rainy,26,Yes,No,None,Yes,136,187,172,15,41280
04-02-2024,Sunday,Cloudy,24,Yes,No,None,Yes,172,207,194,13,36666
05-02-2024,Monday,Rainy,22,No,No,None,No,194,200,176,24,32208
06-02-2024,Tuesday,Cloudy,32,No,No,None,No,176,183,170,13,45730
07-02-2024,Wednesday,Sunny,37,No,No,None,No,170,178,168,10,47040
08-02-2024,Thursday,Sunny,32,No,No,None,No,168,190,166,24,46978
09-02-2024,Friday,Rainy,24,No,No,None,No,166,158,151,7,32767
10-02-2024,Saturday,Sunny,31,Yes,No,None,Yes,151,199,186,13,34596
11-02-2024,Sunday,Sunny,39,Yes,No,None,Yes,186,230,200,30,50800
12-02-2024,Monday,Rainy,18,No,No,None,No,200,198,173,25,35811
13-02-2024,Tuesday,Rainy,24,No,No,None,No,173,193,171,22,38133
14-02-2024,Wednesday,Rainy,22,No,No,None,No,171,157,149,8,36058
15-02-2024,Thursday,Cloudy,27,No,No,None,No,149,189,166,23,42994
16-02-2024,Friday,Sunny,39,No,No,None,No,166,173,162,11,42768
17-02-2024,Saturday,Sunny,31,Yes,No,None,Yes,162,226,208,18,55744
18-02-2024,Sunday,Sunny,37,Yes,No,None,Yes,208,233,222,11,42402
19-02-2024,Monday,Sunny,33,No,No,None,No,222,231,203,28,39788
20-02-2024,Tuesday,Sunny,36,No,No,None,No,203,221,201,20,56682
21-02-2024,Wednesday,Sunny,35,No,No,None,No,201,222,195,27,46800
22-02-2024,Thursday,Cloudy,31,No,No,None,No,195,213,191,22,50615
23-02-2024,Friday,Rainy,19,No,No,None,No,191,192,169,23,47320
24-02-2024,Saturday,Rainy,23,Yes,No,None,Yes,169,221,201,20,50049
25-02-2024,Sunday,Rainy,21,Yes,No,None,Yes,201,233,210,23,48930
26-02-2024,Monday,Sunny,30,No,No,None,No,210,222,206,16,39552
27-02-2024,Tuesday,Rainy,25,No,No,None,No,206,197,176,21,42944
28-02-2024,Wednesday,Sunny,35,No,No,None,No,176,192,178,14,43966
29-02-2024,Thursday,Cloudy,32,No,No,None,No,178,207,185,22,38850
01-03-2024,Friday,Cloudy,31,No,No,None,No,185,215,189,26,34587
02-03-2024,Saturday,Sunny,36,Yes,No,None,Yes,189,250,228,22,65436
03-03-2024,Sunday,Cloudy,26,Yes,No,None,Yes,228,255,243,12,47142
04-03-2024,Monday,Sunny,39,No,No,None,No,243,238,227,11,58112
05-03-2024,Tuesday,Sunny,34,No,No,None,No,227,219,207,12,58167
06-03-2024,Wednesday,Rainy,22,No,No,None,No,207,211,189,22,40635
07-03-2024,Thursday,Sunny,39,No,No,None,No,189,212,193,19,49215
08-03-2024,Friday,Rainy,26,No,Yes,Maha Shivratri,Yes,193,262,234,28,59904
09-03-2024,Saturday,Rainy,25,Yes,No,None,Yes,234,252,225,27,40725
10-03-2024,Sunday,Sunny,35,Yes,No,None,Yes,225,266,240,26,55680
11-03-2024,Monday,Cloudy,32,No,No,None,No,240,245,219,26,45990
12-03-2024,Tuesday,Sunny,35,No,No,None,No,219,229,207,22,52371
13-03-2024,Wednesday,Rainy,21,No,No,None,No,207,202,182,20,41496
14-03-2024,Thursday,Rainy,18,No,No,None,No,182,202,176,26,43472
15-03-2024,Friday,Sunny,37,No,No,None,No,176,182,172,10,37152
16-03-2024,Saturday,Cloudy,25,Yes,No,None,Yes,172,211,194,17,37636
17-03-2024,Sunday,Sunny,30,Yes,No,None,Yes,194,239,218,21,63438
18-03-2024,Monday,Cloudy,25,No,No,None,No,218,240,213,27,42813
19-03-2024,Tuesday,Rainy,22,No,No,None,No,213,218,192,26,36096
20-03-2024,Wednesday,Sunny,32,No,No,None,No,192,214,195,19,39780
21-03-2024,Thursday,Rainy,25,No,No,None,No,195,182,174,8,36888
22-03-2024,Friday,Rainy,26,No,No,None,No,174,181,165,16,31350
23-03-2024,Saturday,Rainy,22,Yes,No,None,Yes,165,202,186,16,36456
24-03-2024,Sunday,Sunny,34,Yes,No,None,Yes,186,245,215,30,51600
25-03-2024,Monday,Rainy,20,No,Yes,Holi,Yes,215,277,264,13,75768
26-03-2024,Tuesday,Sunny,35,No,No,None,No,264,264,232,32,51272
27-03-2024,Wednesday,Sunny,35,No,No,None,No,232,239,212,27,55120
28-03-2024,Thursday,Sunny,39,No,No,None,No,212,223,198,25,51876
29-03-2024,Friday,Sunny,40,No,No,None,No,198,216,188,28,43992
30-03-2024,Saturday,Rainy,27,Yes,No,None,Yes,188,226,208,18,50544
31-03-2024,Sunday,Rainy,26,Yes,No,None,Yes,208,227,201,26,54270
01-04-2024,Monday,Cloudy,27,No,No,None,No,201,207,198,9,49698
02-04-2024,Tuesday,Rainy,23,No,No,None,No,198,177,160,17,37440
03-04-2024,Wednesday,Sunny,31,No,No,None,No,160,190,172,18,42656
04-04-2024,Thursday,Rainy,26,No,No,None,No,172,163,151,12,35636
05-04-2024,Friday,Sunny,35,No,No,None,No,151,181,159,22,45315
06-04-2024,Saturday,Sunny,40,Yes,No,None,Yes,159,222,199,23,37213
07-04-2024,Sunday,Rainy,19,Yes,No,None,Yes,199,228,216,12,53352
08-04-2024,Monday,Cloudy,26,No,No,None,No,216,227,213,14,58149
09-04-2024,Tuesday,Cloudy,26,No,Yes,Ugadi,Yes,213,272,252,20,67284
10-04-2024,Wednesday,Rainy,22,No,No,None,No,252,222,210,12,59640
11-04-2024,Thursday,Sunny,33,No,Yes,Eid-ul-Fitr,Yes,210,263,251,12,63754
12-04-2024,Friday,Cloudy,29,No,No,None,No,251,246,235,11,62275
13-04-2024,Saturday,Cloudy,31,Yes,No,None,Yes,235,279,264,15,51216
14-04-2024,Sunday,Rainy,25,Yes,No,None,Yes,264,267,248,19,54312
